survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,fare_per_age
0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,1.329891304347826
0,3,male,26.0,1,2,20.575,S,Third,man,True,C,Southampton,no,False,0.7913461538461538
0,3,male,59.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True,0.1228813559322034
0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,0.488087323943662
1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,2.754708695652174
1,2,female,34.0,0,1,23.0,S,Second,woman,False,C,Southampton,yes,False,0.6764705882352942
0,2,male,34.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False,0.7647058823529411
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,C,Southampton,no,True,0.28199285714285716
0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,3.6803571428571424
0,3,male,33.0,0,0,8.6542,S,Third,man,True,C,Southampton,no,True,0.26224848484848484
0,3,male,37.0,2,0,7.925,S,Third,man,True,C,Southampton,no,False,0.2141891891891892
0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,0.28199285714285716
1,3,female,21.0,0,0,7.65,S,Third,woman,False,C,Southampton,yes,True,0.3642857142857143
1,3,male,28.0,0,0,7.775,S,Third,man,True,C,Southampton,yes,True,2.4542053009493117
0,3,male,38.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,0.2077842105263158
1,3,female,28.0,1,0,24.15,Q,Third,woman,False,C,Queenstown,yes,False,2.4542053009493117
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,1.1063829787234043
0,3,female,14.5,1,0,14.4542,C,Third,child,False,C,Cherbourg,no,False,0.9968413793103449
0,3,male,22.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,0.36590909090909096
0,3,female,20.0,1,0,9.825,S,Third,woman,False,C,Southampton,no,False,0.49124999999999996
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,C,Cherbourg,no,True,0.8504882352941177
0,3,male,21.0,0,0,7.925,S,Third,man,True,C,Southampton,no,True,0.3773809523809524
0,3,male,70.5,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,0.1099290780141844
0,2,male,29.0,1,0,21.0,S,Second,man,True,C,Southampton,no,False,0.7241379310344828
0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,10.313366666666667
0,3,female,2.0,4,2,31.275,S,Third,child,False,C,Southampton,no,False,15.6375
0,2,male,21.0,2,0,73.5,S,Second,man,True,C,Southampton,no,False,3.5
0,2,male,32.5,1,0,30.0708,C,Second,man,True,C,Cherbourg,no,False,0.9252553846153846
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,0.4
0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,1.43125
1,3,male,12.0,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False,0.9368083333333334
0,3,male,28.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,2.4542053009493117
1,3,male,24.0,0,0,7.1417,S,Third,man,True,C,Southampton,yes,True,0.29757083333333334
1,3,female,28.0,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,2.4542053009493117
0,3,male,45.0,0,0,6.975,S,Third,man,True,C,Southampton,no,True,0.155
0,3,male,33.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True,0.23926666666666668
0,3,male,20.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True,0.3525
0,3,female,47.0,1,0,14.5,S,Third,woman,False,C,Southampton,no,False,0.30851063829787234
0,2,male,25.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,0.52
0,2,male,23.0,0,0,15.0458,C,Second,man,True,C,Cherbourg,no,True,0.6541652173913043
1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,1.3833315789473684
0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,1.4351351351351351
0,3,male,16.0,0,0,9.2167,S,Third,man,True,C,Southampton,no,True,0.57604375
0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,3.3000000000000003
0,3,female,28.0,0,2,15.2458,C,Third,woman,False,C,Cherbourg,no,False,2.4542053009493117
1,3,female,22.0,0,0,7.75,S,Third,woman,False,C,Southampton,yes,True,0.3522727272727273
1,3,female,24.0,1,0,15.85,S,Third,woman,False,C,Southampton,yes,False,0.6604166666666667
0,3,male,19.0,0,0,6.75,Q,Third,man,True,C,Queenstown,no,True,0.35526315789473684
0,2,male,18.0,0,0,11.5,S,Second,man,True,C,Southampton,no,True,0.6388888888888888
0,2,male,19.0,1,1,36.75,S,Second,man,True,C,Southampton,no,False,1.9342105263157894
1,3,male,27.0,0,0,7.7958,S,Third,man,True,C,Southampton,yes,True,0.28873333333333334
0,3,female,9.0,2,2,34.375,S,Third,child,False,C,Southampton,no,False,3.8194444444444446
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,0.7123287671232876
0,2,male,42.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,0.30952380952380953
0,2,male,51.0,0,0,12.525,S,Second,man,True,C,Southampton,no,True,0.24558823529411766
1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,3.027272727272727
0,3,male,55.5,0,0,8.05,S,Third,man,True,C,Southampton,no,True,0.14504504504504506
0,3,male,40.5,0,2,14.5,S,Third,man,True,C,Southampton,no,False,0.35802469135802467
0,3,male,28.0,0,0,7.3125,S,Third,man,True,C,Southampton,no,True,2.4542053009493117
0,1,male,51.0,0,1,61.3792,C,First,man,True,C,Cherbourg,no,False,1.203513725490196
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,C,Queenstown,yes,True,0.48333125
0,3,male,30.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,0.26833333333333337
0,3,male,28.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True,2.4542053009493117
0,3,male,28.0,8,2,69.55,S,Third,man,True,C,Southampton,no,False,2.4542053009493117
0,3,male,44.0,0,1,16.1,S,Third,man,True,C,Southampton,no,False,0.36590909090909096
1,2,female,40.0,0,0,15.75,S,Second,woman,False,C,Southampton,yes,True,0.39375
0,3,male,26.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True,0.29903846153846153
0,3,male,17.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True,0.5095588235294117
0,3,male,1.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False,39.6875
1,3,male,9.0,0,2,20.525,S,Third,child,False,C,Southampton,yes,False,2.2805555555555554
1,1,female,28.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,2.4542053009493117
0,3,female,45.0,1,4,27.9,S,Third,woman,False,C,Southampton,no,False,0.62
0,1,male,28.0,0,0,25.925,S,First,man,True,C,Southampton,no,True,2.4542053009493117
0,3,male,28.0,0,0,56.4958,S,Third,man,True,C,Southampton,no,True,2.017707142857143
0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,0.5491803278688525
0,3,male,4.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,7.28125
1,3,female,1.0,1,1,11.1333,S,Third,child,False,C,Southampton,yes,False,11.1333
0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,0.5481392857142857
0,3,male,18.0,1,1,7.8542,S,Third,man,True,C,Southampton,no,False,0.4363444444444444
0,3,male,28.0,3,1,25.4667,S,Third,man,True,C,Southampton,no,False,2.4542053009493117
0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,0.5742499999999999
0,2,male,30.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,0.43333333333333335
0,3,male,36.0,0,0,0.0,S,Third,man,True,C,Southampton,no,True,0.0
0,3,female,28.0,8,2,69.55,S,Third,woman,False,C,Southampton,no,False,2.4542053009493117
0,2,male,28.0,0,0,15.05,C,Second,man,True,C,Cherbourg,no,True,2.4542053009493117
0,3,male,9.0,4,2,31.3875,S,Third,child,False,C,Southampton,no,False,3.4875
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,39.0
1,3,female,4.0,0,2,22.025,S,Third,child,False,C,Southampton,yes,False,5.50625
0,1,male,28.0,0,0,50.0,S,First,man,True,A,Southampton,no,True,2.4542053009493117
1,3,female,28.0,1,0,15.5,Q,Third,woman,False,C,Queenstown,yes,False,2.4542053009493117
1,1,male,45.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True,0.59
0,3,male,40.0,1,1,15.5,Q,Third,man,True,C,Queenstown,no,False,0.3875
0,3,male,36.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,0.2193277777777778
1,2,female,32.0,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True,0.40625
0,2,male,19.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,0.6842105263157895
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,C,Southampton,yes,False,0.413378947368421
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,8.666666666666666
1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,0.6300181818181818
1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,2.5262206896551724
0,3,male,42.0,0,1,8.4042,S,Third,man,True,C,Southampton,no,False,0.2001
0,2,female,24.0,0,0,13.0,S,Second,woman,False,C,Southampton,no,True,0.5416666666666666
0,3,male,28.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True,0.3392857142857143
0,3,male,34.0,0,0,6.4958,S,Third,man,True,C,Southampton,no,True,0.1910529411764706
0,3,male,45.5,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,0.15879120879120878
1,3,male,18.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,0.44722222222222224
0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,5.23125
0,3,male,32.0,1,0,15.85,S,Third,man,True,C,Southampton,no,False,0.4953125
1,3,male,26.0,0,0,18.7875,C,Third,man,True,C,Cherbourg,yes,True,0.7225961538461539
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,0.484375
1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,0.775
0,3,male,24.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True,0.29375
1,2,female,35.0,0,0,21.0,S,Second,woman,False,C,Southampton,yes,True,0.6
0,3,male,22.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True,0.32954545454545453
0,3,male,28.0,1,0,7.75,Q,Third,man,True,C,Queenstown,no,False,2.4542053009493117
1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,3.6540322580645164
1,3,female,27.0,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True,0.2935185185185185
0,2,male,42.0,1,0,27.0,S,Second,man,True,C,Southampton,no,False,0.6428571428571429
1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,2.384115625
0,2,male,30.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,0.35
1,3,male,16.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,0.503125
0,2,male,27.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,0.48148148148148145
0,3,male,51.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,0.15784313725490198
1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,2.3684210526315788
0,3,male,22.0,0,0,9.35,S,Third,man,True,C,Southampton,no,True,0.425
1,2,male,19.0,0,0,10.5,S,Second,man,True,C,Southampton,yes,True,0.5526315789473685
0,3,male,20.5,0,0,7.25,S,Third,man,True,C,Southampton,no,True,0.35365853658536583
0,2,male,18.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,0.7222222222222222
0,3,female,28.0,3,1,25.4667,S,Third,woman,False,C,Southampton,no,False,2.4542053009493117
1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,2.385
0,3,male,29.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True,0.2681034482758621
0,2,male,59.0,0,0,13.5,S,Second,man,True,C,Southampton,no,True,0.2288135593220339
1,3,female,5.0,4,2,31.3875,S,Third,child,False,C,Southampton,yes,False,6.2775
0,2,male,24.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,0.4375
0,3,female,28.0,0,0,7.55,S,Third,woman,False,C,Southampton,no,True,2.4542053009493117
0,2,male,44.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False,0.5909090909090909
1,2,female,8.0,0,2,26.25,S,Second,child,False,C,Southampton,yes,False,3.28125
0,2,male,19.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,0.5526315789473685
0,2,male,33.0,0,0,12.275,S,Second,man,True,C,Southampton,no,True,0.371969696969697
0,3,female,28.0,1,0,14.4542,C,Third,woman,False,C,Cherbourg,no,False,2.4542053009493117
0,2,male,29.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,0.3620689655172414
0,3,male,22.0,0,0,7.125,S,Third,man,True,C,Southampton,no,True,0.32386363636363635
0,3,male,30.0,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,0.24083333333333332
0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,2.0454545454545454
0,3,female,25.0,0,0,7.775,S,Third,woman,False,C,Southampton,no,True,0.311
1,2,female,24.0,0,2,14.5,S,Second,woman,False,C,Southampton,yes,False,0.6041666666666666
1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,1.4203837837837838
0,2,male,54.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False,0.48148148148148145
0,3,male,28.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True,2.4542053009493117
0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,0.3607758620689655
0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,0.4282258064516129
0,3,male,30.0,1,0,16.1,S,Third,man,True,C,Southampton,no,False,0.5366666666666667
0,3,female,41.0,0,2,20.2125,S,Third,woman,False,C,Southampton,no,False,0.4929878048780487
1,3,female,29.0,0,2,15.2458,C,Third,woman,False,C,Cherbourg,yes,False,0.5257172413793103
1,1,female,28.0,0,0,79.2,C,First,woman,False,C,Cherbourg,yes,True,2.4542053009493117
1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,2.8833333333333333
1,1,female,35.0,0,0,512.3292,C,First,woman,False,C,Cherbourg,yes,True,14.637977142857144
1,2,female,50.0,0,1,26.0,S,Second,woman,False,C,Southampton,yes,False,0.52
1,3,male,3.0,4,2,31.3875,S,Third,child,False,C,Southampton,yes,False,10.4625
0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,1.5317307692307693
0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,0.0
0,3,female,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,no,True,2.4542053009493117
0,2,male,36.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,0.2916666666666667
0,3,male,16.0,4,1,39.6875,S,Third,man,True,C,Southampton,no,False,2.48046875
1,3,male,25.0,1,0,7.775,S,Third,man,True,C,Southampton,yes,False,0.311
1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,2.6459051724137934
1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,3.875237142857143
0,1,male,28.0,0,0,31.0,S,First,man,True,C,Southampton,no,True,2.4542053009493117
1,3,male,25.0,0,0,0.0,S,Third,man,True,C,Southampton,yes,True,0.0
1,2,female,41.0,0,1,19.5,S,Second,woman,False,C,Southampton,yes,False,0.47560975609756095
0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,0.8027027027027027
1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,1.2374333333333332
0,3,female,45.0,0,0,7.75,S,Third,woman,False,C,Southampton,no,True,0.17222222222222222
0,2,male,28.0,0,0,0.0,S,Second,man,True,C,Southampton,no,True,2.4542053009493117
0,3,male,7.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,4.160714285714286
1,3,female,35.0,1,1,20.25,S,Third,woman,False,C,Southampton,yes,False,0.5785714285714286
0,3,male,65.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,0.11923076923076924
0,3,male,28.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True,0.28050714285714284
0,3,male,16.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True,0.59375
1,3,male,19.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,0.42368421052631583
0,1,male,28.0,0,0,26.0,S,First,man,True,A,Southampton,no,True,2.4542053009493117
0,3,male,33.0,0,0,8.6625,C,Third,man,True,C,Cherbourg,no,True,0.2625
1,3,male,30.0,0,0,9.5,S,Third,man,True,C,Southampton,yes,True,0.31666666666666665
0,3,male,22.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,0.3589
1,2,male,42.0,0,0,13.0,S,Second,man,True,C,Southampton,yes,True,0.30952380952380953
1,3,female,22.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,0.3522727272727273
1,1,female,26.0,0,0,78.85,S,First,woman,False,C,Southampton,yes,True,3.0326923076923076
1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,4.7936421052631575
0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,0.3576388888888889
0,3,female,24.0,0,0,8.85,S,Third,woman,False,C,Southampton,no,True,0.36874999999999997
0,3,male,24.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,0.3289916666666667
0,3,male,23.5,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,0.3076255319148936
0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False,75.775
1,1,male,28.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True,2.4542053009493117
1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False,4.950416000000001
1,3,male,28.0,2,0,23.25,Q,Third,man,True,C,Queenstown,yes,False,2.4542053009493117
0,3,male,19.0,0,0,0.0,S,Third,man,True,C,Southampton,no,True,0.0
1,2,female,28.0,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True,2.4542053009493117
1,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False,164.72826086956522
1,1,female,28.0,0,0,110.8833,C,First,woman,False,C,Cherbourg,yes,True,2.4542053009493117
1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False,6.405882352941177
0,2,male,30.0,1,0,24.0,C,Second,man,True,C,Cherbourg,no,False,0.8
1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True,1.89764
1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True,3.4649291666666664
1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False,14.57638888888889
0,2,female,26.0,1,1,26.0,S,Second,woman,False,C,Southampton,no,False,1.0
0,2,male,43.0,1,1,26.25,S,Second,man,True,C,Southampton,no,False,0.6104651162790697
